"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.1",0,0,0,1,0,0,0,0,1,0
"MSTRG.2",12,10,28,15,15,11,13,18,18,6
"MSTRG.3",0,0,0,0,0,0,0,0,0,0
"MSTRG.4",0,0,0,0,0,0,0,0,0,0
"MSTRG.5",0,0,0,0,0,0,0,0,0,0
"MSTRG.6",0,0,0,0,0,0,0,0,0,0
"MSTRG.7",0,0,0,0,0,0,0,0,0,0
"MSTRG.8",2,3,23,13,39,0,4,3,5,6
"MSTRG.9",21,13,43,26,25,23,24,37,20,19
"MSTRG.10",14,20,25,23,17,13,15,7,16,5
"MSTRG.11",13,17,11,14,9,13,12,9,14,17
"MSTRG.12",240,237,209,194,169,215,198,213,219,197
"MSTRG.13",392,316,265,310,263,285,355,400,296,289
"MSTRG.14",477,410,512,573,509,497,524,316,729,444
"MSTRG.15",6,4,12,6,15,2,9,4,3,2
"MSTRG.16",2,4,9,10,3,5,9,13,8,3
"MSTRG.17",11,25,14,33,38,8,12,68,55,12
"MSTRG.18",2856,2322,2266,1986,1458,2484,1964,1386,1765,1803
"MSTRG.19",108,116,101,100,73,91,104,40,67,134
"MSTRG.20",0,0,0,0,0,0,0,0,0,0
"MSTRG.21",0,0,0,0,1,2,0,0,0,1
"MSTRG.22",0,0,0,0,0,0,0,0,0,0
"MSTRG.23",486,435,430,265,181,290,306,187,288,126
"MSTRG.24",2,3,2,2,1,2,0,0,2,1
"MSTRG.25",35,35,23,25,21,26,10,17,10,23
"MSTRG.26",381,423,519,436,609,299,370,457,380,270
"MSTRG.27",9,7,11,8,3,13,8,13,5,1
"MSTRG.28",1,0,0,0,0,0,0,2,0,0
"MSTRG.29",0,0,0,0,0,0,0,0,0,0
"MSTRG.30",8,3,7,5,2,16,6,3,4,2
"MSTRG.31",14,26,10,20,9,3,19,15,7,16
"MSTRG.32",2102,2005,1751,1743,998,2609,1882,1025,1426,1255
"MSTRG.33",1,3,1,1,1,1,0,0,0,0
"MSTRG.34",209,199,283,243,165,197,172,248,199,79
"MSTRG.35",0,0,6,5,5,9,2,5,6,22
"MSTRG.36",1308,1417,1523,1722,1779,1382,1483,1083,1437,2258
"MSTRG.37",0,0,0,0,0,0,0,0,0,0
"MSTRG.38",166,173,205,192,206,160,211,171,212,244
"MSTRG.39",446,477,426,491,753,436,469,676,628,794
"MSTRG.40",18,12,16,27,45,15,22,17,35,66
"MSTRG.41",55,93,91,88,132,69,86,74,138,94
"MSTRG.42",2,6,11,17,35,1,1,21,19,8
"MSTRG.43",13,15,14,11,23,6,16,8,23,32
"MSTRG.44",3,7,5,7,7,5,3,10,5,8
"MSTRG.45",482,612,574,483,143,441,428,522,365,240
"MSTRG.46",0,0,0,0,0,0,0,0,0,0
"MSTRG.47",1161,1102,955,1068,1235,1042,1092,1373,1266,2020
"MSTRG.48",1459,2712,2503,2936,3942,1754,2807,4600,3290,4218
"MSTRG.49",7,14,10,15,24,19,22,9,9,21
"MSTRG.50",72,112,102,93,56,112,118,67,94,104
"MSTRG.51",36,42,29,37,30,124,56,23,40,48
"MSTRG.52",0,0,0,0,0,1,0,2,0,27
"MSTRG.53",165,214,178,176,146,136,237,268,179,267
"MSTRG.54",638,1084,1331,1929,2913,1037,1628,2767,2827,4318
"MSTRG.55",324,330,339,291,379,380,351,482,339,627
"MSTRG.56",348,310,225,224,269,168,259,255,292,256
"MSTRG.57",13,13,23,19,13,24,18,27,16,49
"MSTRG.58",3,2,3,1,0,1,5,3,0,2
"MSTRG.59",1131,1117,1117,1079,907,952,1009,1085,974,988
"MSTRG.60",598,685,727,644,563,634,742,781,664,725
"MSTRG.61",67,45,73,90,120,65,104,116,141,341
"MSTRG.62",6,2,2,8,13,4,4,4,9,46
"MSTRG.63",2025,1829,1706,1655,1846,1946,1805,2301,1789,1478
"MSTRG.64",0,1,0,2,0,0,0,0,0,0
"MSTRG.65",266,216,190,174,111,183,210,240,223,181
"MSTRG.66",103,104,119,113,104,80,124,109,156,108
"MSTRG.67",0,0,0,0,0,0,0,0,0,0
"MSTRG.68",649,1069,1282,1429,1603,1410,1815,2523,2588,1924
"MSTRG.69",12,20,24,18,30,21,33,23,23,31
"MSTRG.70",5,1,10,8,16,7,8,4,13,9
"MSTRG.71",1392,1666,1773,2031,2205,1525,1806,2457,2393,3123
"MSTRG.72",13,9,7,5,4,11,8,8,15,10
"MSTRG.73",2393,2279,2365,2058,1797,2231,1937,1620,1996,1902
"MSTRG.74",35,19,23,17,13,18,22,12,14,26
"MSTRG.75",3,0,3,1,4,3,5,2,1,22
"MSTRG.76",15,22,35,31,171,18,54,37,78,518
"MSTRG.77",1,0,0,0,8,3,2,0,2,17
"MSTRG.78",368,391,549,646,744,331,473,605,855,1334
"MSTRG.79",939,1188,1070,1157,757,726,1106,1605,1227,335
"MSTRG.80",267,252,241,213,159,198,250,326,225,194
"MSTRG.81",71,80,73,115,39,67,51,90,84,51
"MSTRG.82",4,5,5,4,3,9,4,3,2,0
"MSTRG.83",0,2,0,0,0,0,0,0,0,0
"MSTRG.84",4166,4704,5573,7129,17019,4644,4205,4365,4741,8201
"MSTRG.85",2197,2148,1665,1299,762,1835,1742,1315,1188,980
"MSTRG.86",1771,1563,1441,1121,525,1847,1357,1013,1020,1049
"MSTRG.87",0,0,0,0,0,0,0,0,0,0
"MSTRG.88",102,97,89,117,52,86,75,25,63,76
"MSTRG.89",274,242,222,210,128,347,227,137,167,194
"MSTRG.90",0,0,0,0,0,0,0,0,0,0
"MSTRG.91",15,10,8,12,5,16,7,9,5,8
"MSTRG.92",6,8,10,5,1,11,4,3,2,3
"MSTRG.93",201,171,182,171,152,195,196,225,182,207
"MSTRG.94",240,176,241,232,157,247,231,202,232,181
"MSTRG.95",10,7,20,15,9,14,14,8,7,9
"MSTRG.96",9,10,16,27,43,12,12,19,30,4
"MSTRG.97",281,360,421,455,706,458,483,578,617,1288
"MSTRG.98",6,7,11,24,16,30,33,24,47,13
"MSTRG.99",254,298,289,269,371,247,267,272,301,312
"MSTRG.100",659,671,749,727,967,683,766,723,839,622
"MSTRG.101",0,0,0,0,0,1,1,0,1,0
"MSTRG.102",1049,882,711,712,720,1039,943,1023,966,637
"MSTRG.103",5,7,7,7,6,6,12,6,12,4
"MSTRG.104",201,258,333,359,319,264,279,379,271,452
"MSTRG.105",612,557,575,601,398,624,555,804,559,391
"MSTRG.106",109,139,276,330,409,175,252,334,359,213
"MSTRG.107",30,33,76,101,45,48,65,67,91,21
"MSTRG.108",9,7,4,9,5,6,6,9,12,6
"MSTRG.109",247,268,338,375,288,163,247,423,459,204
"MSTRG.110",3,1,1,3,0,3,2,4,1,4
"MSTRG.111",719,687,665,680,1238,760,768,1078,1045,1004
"MSTRG.112",70,64,76,88,601,73,72,46,44,44
"MSTRG.113",242,259,470,271,116,249,507,175,258,42
"MSTRG.114",69,168,371,590,2821,106,302,1067,1193,1404
"MSTRG.115",4,7,6,12,10,5,13,13,18,8
"MSTRG.116",202,178,150,146,146,119,160,149,213,246
"MSTRG.117",1722,2462,2632,2708,2616,1389,2562,4638,2848,407
"MSTRG.118",1558,1561,1417,1518,1547,1122,1332,1497,1458,1129
"MSTRG.119",1004,1249,1335,1570,2552,1426,1504,2148,1919,2868
"MSTRG.120",14,12,22,24,9,13,16,23,24,14
"MSTRG.121",1168,1491,1931,2126,1630,1637,1961,2447,2685,663
"MSTRG.122",0,0,0,1,0,0,0,0,0,0
"MSTRG.123",0,2,0,0,0,0,0,0,0,0
"MSTRG.124",5473,4698,4215,3916,3220,5368,4199,4450,3561,3413
"MSTRG.125",2,0,1,1,3,4,4,0,3,6
"MSTRG.126",162,192,223,288,373,135,228,332,290,174
"MSTRG.127",4,9,9,8,10,6,6,7,6,2
"MSTRG.128",1,3,14,13,36,5,10,19,21,29
"MSTRG.129",932,1014,794,848,414,589,769,1016,765,367
"MSTRG.130",449,352,211,214,241,394,297,324,227,269
"MSTRG.131",1199,1154,1119,948,663,1438,1036,1278,951,892
"MSTRG.132",6,6,7,15,11,7,6,10,16,9
"MSTRG.133",3,3,2,2,5,2,2,3,2,3
"MSTRG.134",0,0,0,0,0,0,0,0,0,0
"MSTRG.135",1566,1839,1763,1696,1139,1210,1573,2623,1603,934
"MSTRG.136",386,434,410,399,479,294,478,527,461,387
"MSTRG.137",694,527,410,487,323,412,439,560,511,331
"MSTRG.138",2,2,4,2,3,1,3,3,1,2
"MSTRG.139",255,315,291,411,548,236,339,504,411,477
"MSTRG.140",685,732,562,608,318,566,742,806,720,466
"MSTRG.141",35,26,16,16,14,35,28,36,18,16
"MSTRG.142",228,242,238,232,138,208,315,253,285,172
"MSTRG.143",460,460,379,346,253,406,411,449,348,627
"MSTRG.144",2,3,2,1,0,2,1,5,3,1
"MSTRG.145",14871,13874,14637,14561,12818,11412,13603,16901,12464,6660
"MSTRG.146",684,929,1009,928,991,935,1114,1553,1234,1398
"MSTRG.147",30,29,38,29,29,33,36,19,48,39
"MSTRG.148",44,50,45,52,33,53,57,22,48,42
"MSTRG.149",38,26,36,38,34,73,30,34,43,129
"MSTRG.150",3,3,1,1,1,3,2,2,4,2
"MSTRG.151",0,0,0,1,0,0,0,0,0,0
"MSTRG.152",34,58,42,71,64,36,47,45,69,33
"MSTRG.153",234,224,179,127,156,134,147,197,160,206
"MSTRG.154",822,763,676,758,668,787,748,886,775,720
"MSTRG.155",447,557,548,447,337,339,455,540,441,352
"MSTRG.156",2040,2363,2107,2087,1352,1563,2594,2277,2666,998
"MSTRG.157",0,0,0,0,0,0,0,0,0,0
"MSTRG.158",293,274,319,232,266,199,318,232,260,305
"MSTRG.159",1,0,0,0,0,0,0,0,1,1
"MSTRG.160",439,503,491,515,436,477,445,752,642,229
"MSTRG.161",0,4,12,5,0,5,1,3,1,0
"MSTRG.162",1306,1529,1213,1124,563,794,1271,1325,1047,303
"MSTRG.163",772,667,755,539,448,474,679,519,892,1995
"MSTRG.164",920,1016,1083,1078,1070,939,1145,1578,1246,1124
"MSTRG.165",90,81,67,71,35,142,75,86,55,31
"MSTRG.166",5485,5002,4865,11939,12378,7463,4253,4126,7154,10057
"MSTRG.167",0,0,0,0,0,0,0,0,0,0
"MSTRG.168",105,120,148,222,381,164,171,78,295,3134
"MSTRG.169",0,1,1,3,1,1,0,0,2,2
"MSTRG.170",0,0,0,0,0,0,0,0,0,3
"MSTRG.171",216,217,132,121,154,133,183,125,167,352
"MSTRG.172",22,29,30,32,70,23,26,18,32,39
"MSTRG.173",161,142,99,99,45,162,112,170,105,45
"MSTRG.174",1617,1555,1447,941,828,1695,1397,1340,1137,1210
"MSTRG.175",26,14,20,27,45,17,17,26,38,44
"MSTRG.176",58,184,207,125,169,126,300,537,271,397
"MSTRG.177",655,475,323,204,130,277,327,239,229,135
"MSTRG.178",48,80,122,117,268,93,146,249,181,276
"MSTRG.179",1,1,3,6,5,3,3,3,3,16
"MSTRG.180",79,62,75,40,45,77,62,62,46,68
"MSTRG.181",624,746,805,762,766,548,826,873,864,647
"MSTRG.182",692,537,465,458,601,535,502,564,456,547
"MSTRG.183",1,1,0,1,1,0,1,0,0,0
"MSTRG.184",2927,2709,1905,1760,1235,1798,2400,2605,2010,1125
"MSTRG.185",2,1,0,1,1,1,0,0,1,0
"MSTRG.186",42,53,32,40,71,31,45,53,56,50
"MSTRG.187",1383,1581,1593,1608,1127,1369,1800,2212,1737,1105
"MSTRG.188",5,1,3,5,1,1,0,3,2,1
"MSTRG.189",225,130,46,33,4,68,51,12,38,2
"MSTRG.190",17,17,6,3,1,5,5,0,4,0
"MSTRG.191",72,55,44,35,7,22,25,23,30,4
"MSTRG.192",153,160,137,145,149,98,138,211,155,87
"MSTRG.193",293,326,326,363,353,361,364,543,445,423
"MSTRG.194",414,383,352,378,359,411,518,730,551,543
"MSTRG.195",1,0,2,1,3,0,1,0,0,1
"MSTRG.196",0,0,0,0,0,0,0,0,0,0
"MSTRG.197",26,25,23,39,38,23,27,32,38,15
"MSTRG.198",2,1,1,4,0,1,0,1,3,1
"MSTRG.199",1130,1592,1869,2144,2708,1148,1744,3026,2683,2206
"MSTRG.200",628,741,842,739,838,652,974,951,1074,845
"MSTRG.201",0,0,0,0,0,0,2,0,0,0
"MSTRG.202",1098,1253,1354,1091,514,1202,1374,1599,1294,900
"MSTRG.203",2,7,2,7,0,8,4,4,5,8
"MSTRG.204",204,232,210,183,108,217,269,263,304,822
"MSTRG.205",1314,1375,1288,1059,924,1067,1235,1304,1140,697
"MSTRG.206",685,873,955,898,982,835,1155,1274,1356,1868
"MSTRG.207",6,11,2,11,11,5,6,6,7,14
"MSTRG.208",4413,4237,3821,3550,2436,3591,3458,3098,3098,2452
"MSTRG.209",32,33,80,54,315,38,91,63,145,955
"MSTRG.210",152,291,683,1255,824,215,561,2036,1999,555
"MSTRG.211",2,1,1,5,1,2,1,1,0,2
"MSTRG.212",2641,4122,5234,7489,7312,3949,5870,9820,9139,3987
"MSTRG.213",11,14,16,26,6,19,19,10,22,6
"MSTRG.214",333,331,419,487,327,592,475,424,676,1176
"MSTRG.215",36,48,39,24,7,34,21,26,24,34
"MSTRG.216",2,8,17,22,9,6,5,15,11,1
"MSTRG.217",0,0,0,0,0,0,0,0,0,2
"MSTRG.218",1797,1207,1356,1313,586,1335,751,1116,816,451
"MSTRG.219",738,679,451,574,305,589,400,319,484,171
"MSTRG.220",18,22,13,12,9,17,27,23,15,23
"MSTRG.221",77,144,203,251,417,102,151,323,352,318
"MSTRG.222",11,23,17,28,48,10,15,23,49,22
"MSTRG.223",599,720,664,768,1472,626,784,1436,1221,1923
"MSTRG.224",366,346,285,232,183,241,302,369,242,175
"MSTRG.225",497,498,407,398,580,412,420,395,392,737
"MSTRG.226",15,22,46,62,345,23,40,89,121,121
"MSTRG.227",418,546,546,622,879,400,613,847,721,835
"MSTRG.228",73,76,87,94,77,74,93,119,99,96
"MSTRG.229",0,0,0,0,1,0,1,0,1,0
"MSTRG.230",472,497,570,469,325,522,537,497,630,666
"MSTRG.231",4,2,2,1,0,4,4,1,3,4
"MSTRG.232",2598,2495,1446,1441,276,1515,1734,1946,1271,180
"MSTRG.233",355,398,448,533,895,385,447,899,651,889
"MSTRG.234",452,555,659,608,659,366,639,887,734,688
"MSTRG.235",67,66,39,54,31,64,81,95,76,155
"MSTRG.236",124,119,94,101,89,86,126,143,147,135
"MSTRG.237",73,64,84,48,68,55,82,46,73,48
"MSTRG.238",8,18,16,11,14,14,17,18,11,12
"MSTRG.239",3454,2614,2648,1980,2385,2759,2168,2500,2069,2434
"MSTRG.240",27,32,32,42,41,17,31,54,33,109
"MSTRG.241",68,58,71,56,61,31,53,84,41,57
"MSTRG.242",392,371,343,379,475,184,263,187,296,229
"MSTRG.243",1466,1400,1416,1201,1962,1199,1341,1875,1289,1332
"MSTRG.244",1071,1314,1104,1218,3060,605,1739,2438,2193,2799
"MSTRG.245",1022,1093,912,925,650,1021,1049,1004,1141,659
"MSTRG.246",2843,2213,1205,603,197,1360,1272,856,637,73
"MSTRG.247",1148,1263,1438,1378,1625,1041,1419,1344,1487,924
"MSTRG.248",1,3,1,2,0,2,1,2,4,2
"MSTRG.249",674,663,593,478,368,460,616,627,475,221
"MSTRG.250",31,24,28,29,15,30,24,15,28,17
"MSTRG.251",70,54,50,75,46,89,67,40,57,34
"MSTRG.252",36,34,30,38,30,46,34,13,37,16
"MSTRG.253",11,16,10,12,11,15,14,13,13,4
"MSTRG.254",800,916,988,794,643,697,985,1448,1032,532
"MSTRG.255",707,736,614,781,566,754,773,852,925,620
"MSTRG.256",5273,4964,3808,4020,833,3698,3190,2018,2009,349
"MSTRG.257",6473,6824,7531,8779,17445,8374,8076,10231,11447,11004
"MSTRG.258",7,7,1,3,1,2,4,4,4,3
"MSTRG.259",822,640,655,693,580,654,592,317,702,985
"MSTRG.260",57,44,44,48,131,31,43,21,94,665
"MSTRG.261",22,13,8,19,6,19,20,11,17,6
"MSTRG.262",43,41,52,37,70,39,43,48,43,88
"MSTRG.263",44,44,15,25,52,32,38,43,43,127
"MSTRG.264",5,3,1,1,0,5,3,2,0,0
"MSTRG.265",1,2,3,2,2,1,1,0,6,2
"MSTRG.266",0,0,0,0,0,0,0,0,0,0
"MSTRG.267",75,38,68,46,19,100,58,29,57,34
"MSTRG.268",2,0,0,0,0,0,0,1,0,0
"MSTRG.269",0,0,0,0,0,0,0,1,0,0
"MSTRG.270",64,53,67,42,26,95,60,37,48,44
"MSTRG.271",1,0,0,0,0,0,0,0,0,0
"MSTRG.272",24,17,6,18,19,12,21,18,27,20
"MSTRG.273",15,3,3,1,1,7,1,0,0,0
"MSTRG.274",48,35,34,45,27,45,25,23,27,19
"MSTRG.275",20,10,4,4,5,29,1,4,2,6
"MSTRG.276",5,6,1,4,6,11,4,0,3,0
"MSTRG.277",10,6,5,9,2,14,7,8,3,6
"MSTRG.278",5,3,3,4,0,7,5,2,0,0
"MSTRG.279",137,78,76,85,37,262,108,65,55,21
"MSTRG.280",2,9,8,11,5,18,38,3,14,13
"MSTRG.281",71,48,46,23,39,41,42,43,29,46
"MSTRG.282",132,237,571,503,587,151,423,302,610,421
"MSTRG.283",141,223,378,364,72,202,483,2,378,36
"MSTRG.284",9,3,12,24,26,6,7,4,7,2
"MSTRG.285",77,148,391,741,2466,9,31,14,33,35
"MSTRG.286",0,0,0,0,0,0,0,0,0,0
"MSTRG.287",1371,1451,1619,1482,1767,1209,1408,1688,1683,1368
"MSTRG.288",798,586,419,435,154,636,436,341,389,328
"MSTRG.289",486,412,328,355,236,370,380,506,380,312
"MSTRG.290",21,10,9,8,1,15,16,6,4,0
"MSTRG.291",964,869,967,874,650,1022,880,775,808,982
"MSTRG.292",20,12,12,11,4,18,17,6,24,20
"MSTRG.293",4287,4213,3771,2835,1903,3724,3569,2871,2550,2426
"MSTRG.294",267,288,223,222,169,269,286,187,277,166
"MSTRG.295",0,0,0,0,0,0,0,0,0,0
"MSTRG.296",0,0,0,0,0,0,0,0,0,0
"MSTRG.297",609,464,387,440,510,489,446,556,453,609
"MSTRG.298",65,71,55,60,35,55,72,66,76,36
"MSTRG.299",1054,887,826,727,463,889,721,556,682,632
"MSTRG.300",5318,5146,5361,5577,4582,6521,4809,4991,5263,5201
"MSTRG.301",1183,1579,1905,2410,2570,1491,2321,4370,3118,1313
"MSTRG.302",1552,1411,1626,1394,1052,1246,1136,1526,1039,834
"MSTRG.303",154,139,118,122,155,186,145,176,135,174
"MSTRG.304",4081,3507,3042,2806,2187,3490,3426,2803,3098,2640
"MSTRG.305",12,14,9,11,1,8,5,9,7,5
"MSTRG.306",0,0,0,0,0,0,1,0,0,0
"MSTRG.307",10,5,6,4,2,7,3,4,6,5
"MSTRG.308",801,813,769,775,1072,817,866,1395,955,1202
"MSTRG.309",19,23,25,33,34,23,27,27,34,111
"MSTRG.310",3158,2946,2509,1960,1020,2489,2182,1888,1745,1367
"MSTRG.311",9,3,2,9,9,2,7,5,5,6
"MSTRG.312",503,452,356,341,254,436,357,393,303,281
"MSTRG.313",6907,5927,4861,4499,2067,6115,5393,6325,4141,2283
"MSTRG.314",576,466,648,470,295,558,646,113,373,466
"MSTRG.315",0,0,0,0,0,0,0,0,0,0
"MSTRG.316",535,505,668,854,2341,407,444,923,1251,3122
"MSTRG.317",1,0,0,1,5,0,0,0,2,13
"MSTRG.318",2146,1772,1302,1271,533,1507,1473,1964,1086,465
"MSTRG.319",0,0,0,0,0,0,0,0,0,0
"MSTRG.320",1321,800,579,434,221,627,445,330,483,288
"MSTRG.321",33,28,30,32,20,49,26,26,35,33
"MSTRG.322",35,25,19,30,12,37,46,32,37,38
"MSTRG.323",16,18,22,18,36,19,18,16,22,65
"MSTRG.324",3,0,0,0,0,0,0,1,0,5
"MSTRG.325",149,131,186,198,95,144,129,94,154,81
"MSTRG.326",77,35,32,34,26,47,28,22,20,25
"MSTRG.327",1260,880,667,413,272,683,485,435,463,236
"MSTRG.328",0,0,0,1,0,0,0,0,0,0
"MSTRG.329",11,5,4,3,2,15,7,4,10,3
"MSTRG.330",3,5,9,1,2,3,0,4,3,2
"MSTRG.331",1,1,0,2,0,3,1,3,0,0
"MSTRG.332",0,0,0,0,0,0,0,0,0,0
"MSTRG.333",0,1,0,0,0,0,0,1,0,1
"MSTRG.334",1,0,0,0,0,1,0,1,0,1
"MSTRG.335",0,0,0,1,0,0,1,0,0,0
"MSTRG.336",3927,4740,4507,5534,9519,3488,4558,5535,4466,11036
"MSTRG.337",0,0,0,1,0,0,0,1,0,0
"MSTRG.338",0,0,11,11,14,1,1,16,21,8
"MSTRG.339",243,304,308,278,188,251,318,246,342,126
"MSTRG.340",292,472,593,698,638,416,617,1160,1086,355
"MSTRG.341",3572,3745,4955,4920,4716,3264,3685,6406,5181,2685
"MSTRG.342",2943,2772,2988,2901,3194,3023,2699,3417,3165,3261
"MSTRG.343",16,13,10,6,2,10,8,4,6,2
"MSTRG.344",17,12,6,2,4,7,5,2,9,8
"MSTRG.345",538,559,507,574,349,443,415,515,507,274
"MSTRG.346",36,36,54,40,728,51,65,68,95,1351
"MSTRG.347",368,575,853,1067,2125,461,768,1056,1319,1106
"MSTRG.348",5,2,9,2,12,7,6,6,8,9
"MSTRG.349",2128,3525,4309,5857,7251,3996,5335,5369,6826,6551
"MSTRG.350",9,11,20,35,149,10,25,28,39,8
"MSTRG.351",26,25,30,58,26,18,29,84,76,23
"MSTRG.352",501,470,417,407,507,526,441,421,440,572
"MSTRG.353",12,12,9,11,18,6,13,6,6,9
"MSTRG.354",2503,2368,2247,1894,1119,2648,2170,1797,1726,1793
"MSTRG.355",153,160,114,113,58,121,145,137,151,112
"MSTRG.356",121,92,92,92,62,75,104,123,107,52
"MSTRG.357",29,16,26,22,19,31,26,24,20,13
"MSTRG.358",145,175,143,224,154,137,154,246,226,105
"MSTRG.359",0,1,1,4,1,3,4,1,2,1
"MSTRG.360",323,303,249,260,177,304,304,302,301,126
"MSTRG.361",7306,6110,4761,4315,3530,6808,5357,5003,4731,4028
"MSTRG.362",12,30,53,41,17,22,69,84,79,5
"MSTRG.363",0,0,0,0,0,0,0,0,0,0
"MSTRG.364",436,481,418,441,496,320,354,392,331,322
"MSTRG.365",3,4,2,4,3,2,3,4,10,4
"MSTRG.366",23,21,28,16,20,20,16,18,19,13
"MSTRG.367",0,0,0,1,0,0,0,0,0,0
"MSTRG.368",1445,1904,1919,1717,1904,1537,2165,3248,2510,1913
"MSTRG.369",206,253,271,273,338,208,293,339,319,578
"MSTRG.370",3048,2867,2478,2576,2361,2380,2416,2933,2634,2482
"MSTRG.371",2,1,3,9,6,0,3,14,15,0
"MSTRG.372",3,2,1,3,3,2,2,0,1,1
"MSTRG.373",184,163,135,184,165,106,135,145,142,98
"MSTRG.374",1,0,0,1,1,1,1,2,2,7
"MSTRG.375",9,12,17,46,118,5,13,2,32,97
"MSTRG.376",0,0,0,0,0,0,0,0,0,0
"MSTRG.377",912,655,825,620,353,644,471,273,363,201
"MSTRG.378",1,0,0,1,0,0,0,1,1,0
"MSTRG.379",0,0,0,0,0,0,0,0,0,0
"MSTRG.380",25,17,49,9,15,10,38,17,11,5
"MSTRG.381",0,0,1,0,2,0,0,0,0,1
"MSTRG.382",0,0,0,0,0,0,0,0,0,0
"MSTRG.383",1,0,1,2,0,0,2,0,1,0
"MSTRG.384",5,14,28,9,3,12,24,0,17,7
"MSTRG.385",3,3,9,0,1,4,6,0,2,0
"MSTRG.386",0,0,0,0,0,0,0,0,0,0
"MSTRG.387",0,1,5,9,2,4,3,1,1,0
"MSTRG.388",0,0,0,0,0,0,0,0,0,0
"MSTRG.389",0,0,0,1,0,0,0,0,0,0
"MSTRG.390",26,20,12,17,9,24,12,11,17,28
"MSTRG.391",27,19,32,15,27,29,22,11,13,20
"MSTRG.392",216,188,90,186,248,224,179,160,339,561
"MSTRG.393",3,9,17,3,3,8,16,0,3,0
"MSTRG.394",5,5,5,1,0,2,1,0,1,1
"MSTRG.395",0,0,0,0,0,0,0,0,0,0
"MSTRG.396",12,11,19,13,22,30,26,6,14,8
"MSTRG.397",13,14,20,12,10,10,27,3,11,8
"MSTRG.398",251,215,203,220,279,222,228,293,225,238
"MSTRG.399",281,382,453,802,544,743,721,858,1049,1041
"MSTRG.400",2,3,4,9,8,10,13,9,7,10
"MSTRG.401",2,2,6,17,7,10,9,10,20,9
"MSTRG.402",9,2,10,9,7,5,7,12,5,11
"MSTRG.403",910,912,896,678,399,998,871,633,722,526
"MSTRG.404",1,0,0,0,0,0,0,0,1,0
"MSTRG.405",1117,1077,1095,1070,1115,1148,1008,769,1027,1015
"MSTRG.406",0,0,0,0,2,1,0,0,0,0
"MSTRG.407",0,0,0,0,0,0,0,0,0,0
"MSTRG.408",1,6,5,3,9,0,8,8,2,1
"MSTRG.409",6,3,14,6,9,4,6,2,3,22
"MSTRG.410",23,19,18,17,21,18,16,19,19,53
"MSTRG.411",6,4,2,2,4,7,4,4,6,19
"MSTRG.412",58,54,16,36,28,119,62,7,38,76
"MSTRG.413",143,145,224,189,267,148,112,161,216,182
"MSTRG.414",1177,1276,1688,2370,1152,2338,2401,2647,2217,601
"MSTRG.415",0,2,0,3,6,2,0,3,2,3
"MSTRG.416",0,0,0,0,0,0,0,0,0,0
"MSTRG.417",1,1,4,7,16,3,7,4,18,21
"MSTRG.418",1,0,0,4,0,0,0,0,3,1
"MSTRG.419",512,271,294,204,69,348,228,163,189,32
"MSTRG.420",0,0,0,0,0,0,0,0,0,0
"MSTRG.421",25,39,63,119,125,107,116,191,155,101
"MSTRG.422",1,0,2,5,0,0,2,1,5,2
"MSTRG.423",2423,1959,1857,1828,2402,2059,1774,1381,1892,2907
"MSTRG.424",17,7,6,12,9,15,8,4,17,12
"MSTRG.425",206,157,278,192,237,259,181,188,173,332
"MSTRG.426",23,6,13,7,10,22,6,4,3,9
"MSTRG.427",46,27,47,26,29,21,26,5,20,15
"MSTRG.428",5,13,11,5,1,13,8,2,3,5
"MSTRG.429",15,18,9,16,12,9,10,10,10,24
"MSTRG.430",4,3,1,5,3,1,7,1,0,11
"MSTRG.431",33,49,53,35,11,50,29,39,35,9
"MSTRG.432",12,14,15,13,8,22,12,4,19,4
"MSTRG.433",21,29,53,35,13,24,29,10,16,7
"MSTRG.434",30,19,15,24,19,15,22,10,17,22
"MSTRG.435",7,6,0,8,9,0,7,2,16,5
"MSTRG.436",1127,1341,1440,1209,986,1296,974,747,881,410
"MSTRG.437",306,294,78,102,72,100,175,97,112,156
"MSTRG.438",2,1,2,1,3,0,3,3,1,2
"MSTRG.439",2589,1730,1062,962,1200,1996,1789,1342,1297,1369
"MSTRG.440",0,0,0,0,0,0,0,0,0,0
"MSTRG.441",790,579,480,470,234,706,441,473,403,296
"MSTRG.442",11,6,4,8,4,10,9,4,10,7
"MSTRG.443",3219,3752,4629,5778,4278,4037,3947,3785,5008,2830
"MSTRG.444",1252,1058,894,1120,1077,986,1064,1504,1462,1436
"MSTRG.445",1233,1507,736,1152,1023,1024,1300,1489,1324,765
"MSTRG.446",1,1,0,0,0,1,1,0,3,0
"MSTRG.447",0,0,0,0,0,0,0,0,0,0
"MSTRG.448",3,4,4,1,1,4,1,0,1,1
"MSTRG.449",16,19,9,2,13,5,6,5,10,5
"MSTRG.450",0,0,0,0,0,0,0,0,0,0
"MSTRG.451",0,0,0,0,0,1,0,0,0,0
"MSTRG.452",7,13,14,12,40,9,9,13,11,77
"MSTRG.453",449,441,496,547,1046,588,424,237,493,1141
